CutOff,Subsidy,Obj,Free,,Total
0,610000,783986588,373,373,843
0.1,610000,783986588,373,373,843
0.2,620000,776038286.4,360,360,843
0.3,630000,759092440.6,333,333,843
0.4,630000,759092440.6,333,333,843
0.5,630000,750272440.6,319,319,843
0.6,630000,728222440.6,284,284,843
0.7,630000,718772440.6,269,269,843
0.8,630000,718772440.6,269,269,843
0.9,630000,714992440.6,263,263,843
1,630000,708062440.6,252,252,843
1.1,650000,704853755.9,247,247,848
1.2,650000,700891228.3,242,242,848
1.3,650000,700891228.3,242,242,848
1.4,650000,692441228.3,229,229,848
1.5,650000,692441228.3,229,229,848
1.6,650000,691878025.7,226,226,848
1.7,650000,693822781.7,215,215,848
1.8,650000,693822781.7,215,215,848
1.9,650000,687241132,183,183,848
2,650000,687241132,183,183,848
2.1,650000,690909099.2,172,172,848
2.2,650000,700899699.8,164,164,848
2.3,660000,731315763.5,141,141,847
2.4,670000,735134243.4,118,118,848
2.5,690000,759634322.6,100,100,851
2.6,690000,759634322.6,100,100,851
2.7,690000,777941439,90,90,851
2.8,700000,843395278.4,54,54,852
2.9,700000,860883506,40,40,852
3,700000,860883506,40,40,852
3.1,690000,879405691.3,33,33,850
3.2,700000,889378679.2,25,25,852
3.3,700000,904568581.5,16,16,851
3.4,700000,915269229.1,11,11,850
3.5,700000,915269229.1,11,11,850
3.6,700000,918845274.8,8,8,850
3.7,700000,928591846.7,5,5,850
3.8,700000,948570496.1,0,0,844
3.9,700000,948570496.1,0,0,844
4,700000,964553513.5,0,0,837
4.1,700000,1005556864,0,0,827
4.2,700000,1005556864,0,0,827
4.3,700000,1029717139,0,0,792
4.4,700000,1029717139,0,0,792
4.5,700000,1033149643,0,0,785
4.6,700000,1033149643,0,0,785
