Param,Optimal Subsidy,Objective,Free rider,TotalMovement
0.001,50000,469578606.2,282,786
0.002,190000,514383758,233,801
0.003,290000,546393184.9,210,807
0.004,320000,571168929.8,188,805
0.005,390000,591125989,178,810
0.006,430000,607697836.7,167,812
0.007,470000,622648592.5,163,814
0.008,510000,635478151.3,161,815
0.009,540000,647249351.8,156,816
0.01,570000,657932739.4,150,821
0.011,580000,667463339.1,149,822
0.012,600000,676345888.2,148,822
0.013,620000,685019585.8,143,824
0.014,630000,692729285,142,824
0.015,650000,700198050.5,138,825
0.016,660000,707122307.4,136,826
0.017,670000,713417062.4,133,827
0.018,680000,720165130.2,132,827
0.019,690000,725700183.2,130,828
0.02,710000,731964695.2,128,831
0.021,710000,737509507.4,126,830
0.022,710000,742724933.8,122,830
0.023,710000,747582771,119,830
0.024,720000,752463293,118,831
0.025,730000,757457369.1,117,837
0.026,750000,762277376.9,117,837
0.027,740000,766532049,116,836
0.028,740000,770796711.4,115,836
0.029,750000,775279245.7,113,836
0.03,760000,779242940.9,110,836
0.031,750000,783067753.2,109,836
0.032,760000,786656450.4,108,836
0.033,770000,790208010.4,108,837
0.034,780000,794433951,107,838
0.035,780000,798533744,106,838
0.036,790000,802440906.7,105,838
0.037,770000,805618799.1,104,836
0.038,780000,808539213.5,99,837
0.039,790000,811975328.7,97,838
0.04,790000,815288657.7,95,837
0.041,800000,818800686.3,95,840
0.042,800000,822339379.4,93,838
0.043,800000,825406233.8,92,838
0.044,800000,828632810.5,92,838
0.045,800000,831713247.4,87,836
0.046,810000,834836499.7,87,839
0.047,810000,837859938.3,87,839
0.048,800000,840779413.1,87,836
0.049,810000,843450624.3,87,837
0.05,820000,845971885.3,87,839
