Sub,Obj,Free,Nei,Total,Relo,Vac,Dp
140000,350516246,495,312,1038,300000,0.1,0.1
140000,336829811.5,495,333,1040,300000,0.1,0.15
150000,330614020.6,495,334,1044,300000,0.1,0.2
150000,327354834.6,495,331,1044,300000,0.1,0.25
160000,368845124.6,495,249,1011,300000,0.15,0.1
150000,360408228.7,495,262,1007,300000,0.15,0.15
160000,352481126.2,495,275,1013,300000,0.15,0.2
150000,348628046.3,495,277,1008,300000,0.15,0.25
170000,379415866.6,495,195,972,300000,0.2,0.1
160000,369526294.4,495,216,973,300000,0.2,0.15
150000,363439848,495,217,969,300000,0.2,0.2
150000,360073500.3,495,232,969,300000,0.2,0.25
150000,388490686.8,495,179,953,300000,0.25,0.1
170000,380611133.8,495,182,955,300000,0.25,0.15
140000,374921169.4,495,203,950,300000,0.25,0.2
150000,371657198.6,495,199,954,300000,0.25,0.25
160000,392735473.2,495,159,944,300000,0.3,0.1
160000,388263628.1,495,161,944,300000,0.3,0.15
150000,386885435.1,495,171,943,300000,0.3,0.2
160000,382720493.1,495,173,944,300000,0.3,0.25
200000,399953030.9,495,124,934,300000,0.35,0.1
200000,394551621.7,495,136,939,300000,0.35,0.15
150000,391054729.8,495,147,926,300000,0.35,0.2
170000,387685928.6,495,149,927,300000,0.35,0.25
180000,405104936.8,495,103,908,300000,0.4,0.1
160000,401559678.8,495,111,908,300000,0.4,0.15
170000,397808389.6,495,115,908,300000,0.4,0.2
150000,396229348.1,495,122,907,300000,0.4,0.25
550000,654917716.2,374,327,1031,750000,0.1,0.1
540000,642072912.7,374,351,1032,750000,0.1,0.15
530000,625421165.8,374,367,1034,750000,0.1,0.2
520000,616682513.5,374,375,1034,750000,0.1,0.25
570000,687103977.5,374,237,973,750000,0.15,0.1
540000,666470710.7,374,270,972,750000,0.15,0.15
520000,660478065.5,374,281,972,750000,0.15,0.2
540000,648611653.7,374,279,972,750000,0.15,0.25
570000,696731189.8,374,218,960,750000,0.2,0.1
570000,692162083,374,227,960,750000,0.2,0.15
550000,677294640.9,374,242,960,750000,0.2,0.2
540000,674209957.7,374,245,956,750000,0.2,0.25
550000,719994777.8,374,190,944,750000,0.25,0.1
590000,702541739.1,374,193,949,750000,0.25,0.15
590000,694844234.4,374,203,950,750000,0.25,0.2
570000,692180955.2,374,209,945,750000,0.25,0.25
610000,728812288.5,374,155,944,750000,0.3,0.1
590000,715889126.2,374,171,939,750000,0.3,0.15
590000,713596733.1,374,173,939,750000,0.3,0.2
570000,706783531.6,374,181,934,750000,0.3,0.25
570000,734174438,374,133,912,750000,0.35,0.1
590000,722172196.7,374,144,922,750000,0.35,0.15
580000,723041904.2,374,141,912,750000,0.35,0.2
580000,717008620.6,374,145,912,750000,0.35,0.25
600000,742361608.9,374,109,907,750000,0.4,0.1
580000,735693828,374,118,898,750000,0.4,0.15
600000,729179693.1,374,120,907,750000,0.4,0.2
600000,728539747.2,374,121,907,750000,0.4,0.25
