Experiment,Experiment parameter,Optimal subisdy,Objective,Free riders,Total movements,,,
govDiscount,0.025,610000,784596588,374,843,,,
govDiscount,0.026,610000,780168064,374,843,,,
govDiscount,0.027,610000,775892185.4,374,843,,,
govDiscount,0.028,610000,771761671.8,374,843,,,
govDiscount,0.029,610000,767769649.8,374,843,,,
govDiscount,0.03,610000,763909627.6,374,843,,,
govDiscount,0.031,610000,760175472.1,374,843,,,
govDiscount,0.032,610000,756561386.8,374,843,,,
govDiscount,0.033,590000,752667025.3,374,836,,,
govDiscount,0.034,590000,748966875.9,374,836,,,
govDiscount,0.035,590000,745379388.8,374,836,,, 
govDiscount,0.036,590000,741899550.8,374,836,,,
govDiscount,0.037,590000,738522618.5,374,836,,,
govDiscount,0.038,590000,735244101.6,374,836,,,
govDiscount,0.039,570000,731386085.2,374,832,,,
govDiscount,0.04,570000,728021788.4,374,832,,,
govDiscount,0.041,570000,724749448,374,832,,,
govDiscount,0.042,570000,721565258,374,832,,,
govDiscount,0.043,570000,718465608.6,374,832,,,
govDiscount,0.044,570000,715447073.9,374,832,,,
govDiscount,0.045,550000,712274437.1,374,831,,,
govDiscount,0.075,0,550424895.9,0,785,,,
