Experiment,Experiment parameter,Optimal subisdy,Objective,Free riders,Total movements
MidDiscount,0.07,610000,763903314.7,490,846
MidDiscount,0.075,610000,765010740.5,482,846
MidDiscount,0.08,610000,766560939.1,476,846
MidDiscount,0.085,610000,768179912.3,470,846
MidDiscount,0.09,610000,770078215.5,466,846
MidDiscount,0.095,610000,772184352.5,460,845
MidDiscount,0.1,610000,774326118.6,453,845
MidDiscount,0.105,610000,776483047.5,443,844
MidDiscount,0.11,610000,779125439.9,432,843
MidDiscount,0.115,610000,781458338.2,407,843
MidDiscount,0.12,610000,784596588,374,843
